j,case_id,I_T,disp_vol,KB,KG,FSC,BM,KM,GM,GM_eff,classical_GM_sign,GM_safe,a,r,s,SSB_status
12,DISP_SWEEP,3.6,8.0,0.55,0.9,0.0,0.45,1.0,0.09999999999999998,0.09999999999999998,STABLE,0.15,0.6666666666666665,0.3333333333333335,0.4032258064516123,DENY
13,DISP_SWEEP,3.6,8.25,0.55,0.9,0.0,0.4363636363636364,0.9863636363636364,0.08636363636363642,0.08636363636363642,STABLE,0.15,0.5757575757575761,0.42424242424242387,0.7274682306940362,DENY
14,DISP_SWEEP,3.6,8.5,0.55,0.9,0.0,0.4235294117647059,0.973529411764706,0.07352941176470595,0.07352941176470595,STABLE,0.15,0.49019607843137303,0.509803921568627,1.1372721522626632,DENY
15,DISP_SWEEP,3.6,8.75,0.55,0.9,0.0,0.4114285714285714,0.9614285714285715,0.0614285714285715,0.0614285714285715,STABLE,0.15,0.40952380952381,0.5904761904761899,1.6277483427388533,DENY
16,DISP_SWEEP,3.6,9.0,0.55,0.9,0.0,0.4,0.9500000000000001,0.050000000000000044,0.050000000000000044,STABLE,0.15,0.33333333333333365,0.6666666666666663,2.1944150094055197,DENY
17,DISP_SWEEP,3.6,9.25,0.55,0.9,0.0,0.3891891891891892,0.9391891891891893,0.03918918918918923,0.03918918918918923,STABLE,0.15,0.2612612612612616,0.7387387387387384,2.833153748144258,DENY
18,DISP_SWEEP,3.6,9.5,0.55,0.9,0.0,0.37894736842105264,0.9289473684210527,0.02894736842105272,0.02894736842105272,STABLE,0.15,0.19298245614035148,0.8070175438596485,3.5401712920039063,DENY
19,DISP_SWEEP,3.6,9.75,0.55,0.9,0.0,0.36923076923076925,0.9192307692307693,0.019230769230769273,0.019230769230769273,STABLE,0.15,0.1282051282051285,0.8717948717948715,4.311966163798778,DENY
20,DISP_SWEEP,3.6,10.0,0.55,0.9,0.0,0.36,0.91,0.010000000000000009,0.010000000000000009,STABLE,0.15,0.06666666666666674,0.9333333333333332,5.145299497132111,DENY
21,DISP_SWEEP,3.6,10.25,0.55,0.9,0.0,0.351219512195122,0.9012195121951221,0.0012195121951220633,0.0012195121951220633,STABLE,0.15,0.008130081300813757,0.9918699186991863,6.037169415831297,DENY
22,DISP_SWEEP,3.6,10.5,0.55,0.9,0.0,0.34285714285714286,0.8928571428571429,-0.0071428571428571175,-0.0071428571428571175,UNSTABLE,0.15,0.0,1.0476190476190474,6.984788463450345,DENY
23,DISP_SWEEP,3.6,10.75,0.55,0.9,0.0,0.33488372093023255,0.8848837209302326,-0.015116279069767424,-0.015116279069767424,UNSTABLE,0.15,0.0,1.1007751937984496,7.985563657248794,DENY
24,DISP_SWEEP,3.6,11.0,0.55,0.9,0.0,0.32727272727272727,0.8772727272727273,-0.022727272727272707,-0.022727272727272707,UNSTABLE,0.15,0.0,1.1515151515151514,9.037078808763946,DENY
25,DISP_SWEEP,3.6,11.25,0.55,0.9,0.0,0.32,0.8700000000000001,-0.029999999999999916,-0.029999999999999916,UNSTABLE,0.15,0.0,1.1999999999999995,10.137078808763945,DENY
26,DISP_SWEEP,3.6,11.5,0.55,0.9,0.0,0.3130434782608696,0.8630434782608696,-0.036956521739130443,-0.036956521739130443,UNSTABLE,0.15,0.0,1.2463768115942029,11.283455620358149,DENY
27,DISP_SWEEP,3.6,11.75,0.55,0.9,0.0,0.30638297872340425,0.8563829787234043,-0.043617021276595724,-0.043617021276595724,UNSTABLE,0.15,0.0,1.2907801418439715,12.47423576220212,DENY
28,DISP_SWEEP,3.6,12.0,0.55,0.9,0.0,0.3,0.8500000000000001,-0.04999999999999993,-0.04999999999999993,UNSTABLE,0.15,0.0,1.333333333333333,13.707569095535453,DENY
